Trip ID,Date,Pier/Harbor,Depth_caught_fm_ft,Depth (m),Position_General_near FAD_LAT-LONG_OTHER,Lat,Lon,Bait_Chum_Lure,Rubbish_Debris,Fishes- Gut Content Tag ID,Species,Size (units; FL in in),Size (units; FL in cm),Sex?,Other information
Oahu 050,20200911,Haleiwa,600 feet,183,North shore,"21°46'20.92""N","158°14'4.24""W",Saba,Unknown,OAH HAL 033,Mahi,30,76.2,Unknown,
Oahu 050,20200911,Haleiwa,600 feet,183,North shore,"21°46'20.92""N","158°14'4.24""W",Lure,Unknown,OAH HAL 034,Mahi,28,71.12,Unknown,
Oahu 050,20200911,Haleiwa,600 feet,183,North shore,"21°46'20.92""N","158°14'4.24""W",Lure,Unknown,OAH HAL 035,Mahi,33,83.82,Unknown,
Oahu 050,20200911,Haleiwa,600 feet,183,North shore,"21°46'20.92""N","158°14'4.24""W",Saba,Unknown,OAH HAL 036,Mahi,29,73.66,Unknown,
Oahu 050,20200911,Haleiwa,Unknown,Unknown,North shore,"21°46'20.92""N","158°14'4.24""W",Saba,Unknown,OAH HAL 037,Mahi,30.5,77.47,Unknown,
Oahu 050,20200911,Haleiwa,Unknown,Unknown,North shore,"21°46'20.92""N","158°14'4.24""W",Lures,Unknown,OAH HAL 038,Mahi,37,93.98,Unknown,
Oahu 050,20200911,Haleiwa,Unknown,Unknown,North shore,"21°46'20.92""N","158°14'4.24""W",Lures,Unknown,OAH HAL 039,Mahi,35,88.9,Unknown,
Oahu 051,20200913,Heeia ,1000 fm,1828.8,Near LL buoy area,,,Lures,None,OAH HEE 039,Mahi,28,71.1,female,
Oahu 052,20200918,Heeia ,2000 fm,3657.6,22 miles outside Kaneohe,"21°45'47.47""N","157°31'4.26""W",unknown dead bait,Bird pile,OAH HEE 040,Mahi,30,76.2,Unknown,
Oahu 052,20200918,Heeia ,2000 fm,3657.6,22 miles outside Kaneohe,"21°45'47.47""N","157°31'4.26""W",unknown dead bait,Bird pile,OAH HEE 041,Mahi,31.5,80,Unknown,
Oahu 052,20200918,Heeia ,2000 fm,3657.6,22 miles outside Kaneohe,"21°45'47.47""N","157°31'4.26""W",unknown dead bait,Bird pile,OAH HEE 042,Mahi,30.5,77.5,Unknown,
Oahu 053,20200927,Kahuku,6000 fm,10972.8,35 miles outside Kahuku,"21°45'47.47""N","157°31'4.26""W",Lures,Bird pile,OAH HAL 040,Mahi,30,76.2,Male,"Assigned Haleiwa harbor for ID purposes, but caught from the Sette (no port call)"
Oahu 053,20200927,Kahuku,6000 fm,10972.8,35 miles outside Kahuku,"21°45'47.47""N","157°31'4.26""W",Lures,Bird pile,OAH HAL 041,Mahi,32,81.28,Female,"Assigned Haleiwa harbor for ID purposes, but caught from the Sette (no port call)"
Oahu 054,20200930,Heeia ,1000fm,1828.8,Between MM and T,,,Lures,birds,OAH HEE 043,Mahi,32,81.28,Female,
Oahu 055,20201008,Heeia ,1000fm,1828.8,Off of Laie/LL area,,,Live bait ( Akule) ,Birds,OAH HEE 044,Mahi,31.5,80.01,Male,
Oahu 055,20201008,Heeia ,1000fm,1828.8,Off of Laie/LL area,,,Live bait ( Akule) ,birds,OAH HEE 045,Mahi,33,83.82,Male,
Oahu 055,20201008,Heeia ,1000fm,1828.8,Off of Laie/LL area,,,Live bait ( Akule) ,birds,OAH HEE 046,Mahi,33,83.82,Female,
Oahu 056,20201011,Heeia ,800 fm,1463,Between U and MM,,,Lure,Birds,OAH HEE 047,Mahi,45,114.3,Female,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK037,Mahi,35,88.9,Unknown,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK038,Mahi,33.5,85.09,Unknown,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK039,Mahi,34,86.36,Unknown,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK040,Mahi,32,81.28,Unknown,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK041,Mahi,31.5,80.01,Unknown,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK042,Mahi,40,101.6,Unknown,
Oahu 057,20201020,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W",Lures,Unknown,OAH HAK043,Mahi,37,93.98,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK044,Mahi,38,96.52,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK045,Mahi,37,93.98,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK046,Mahi,35.5,90.17,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK047,Mahi,36,91.44,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK048,Mahi,38,96.52,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK049,Mahi,36.5,92.71,Unknown,
Oahu 058,20201027,Hawaii Kai,1000fm,1828.8,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, saba",Unknown,OAH HAK050,Mahi,36,91.44,Unknown,
Oahu 059,20201115,Heeia,1000 fm,,1 mile within MM,,,lure,none,OAH HEE 048,Mahi,38.5,97.79,Female,Caught with birds ( open school)
Oahu 060,20201125,Hawaii Kai,40fm,,Honolulu side of P. Banks,,,live bait (opelu),none,Oahu HAK051,Mahi,32.5,82.55,Male,caught with boobies in area
Oahu 061,20201115,Heeia,1000 fm,,15 nm outside U bouy,,,lure,none,OAH HEE 049,Mahi,35,88.9,Female,Caught with birds ( open school)
Oahu 062,20200916,Hawaii Kai,50 fa,,Hawaii Kai Pinnicle,,,Opelu ,none,Oahu HAK052,Mahi,44,111.76,Female,26 pounds
Oahu 063,20200926,Hawaii Kai,45 fa,,Hawaii Kai Pinnicle,,,live Opelu ,none,Oahu HAK053,Mahi,30.5,77.47,Male,8 pounds
Oahu 064,20210113,Hawaii Kai,1250 fm,2286,South Oahu,"21°11'35.34""N","158°1'10.74""W","lures, cut bait (aku/shibi scraps)",Unknown,OAH KK01,Mahi,35,88.9,Unknown,
Oahu 064,20210113,Hawaii Kai,1250 fm,2286,South Oahu,"21°11'35.34""N","158°1'10.74""W","lures, cut bait (aku/shibi scraps)",Unknown,OAH KK02,Mahi,33.5,85.09,Unknown,
Oahu 064,20210113,Hawaii Kai,1250 fm,2286,South Oahu,"21°11'35.34""N","158°1'10.74""W","lures, cut bait (aku/shibi scraps)",Unknown,OAH KK03,Mahi,31,78.74,Unknown,
Oahu 064,20210113,Hawaii Kai,1250 fm,2286,South Oahu,"21°11'35.34""N","158°1'10.74""W","lures, cut bait (aku/shibi scraps)",Unknown,OAH KK04,Mahi,31,78.74,Unknown,
Oahu 064,20210113,Hawaii Kai,1250 fm,2286,South Oahu,"21°11'35.34""N","158°1'10.74""W","lures, cut bait (aku/shibi scraps)",Unknown,OAH KK05,Mahi,30,76.2,Unknown,
Oahu 065,20210326,Kewalo,1000 fm,,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, ballyhoo",,OAH KK06,Mahi,37,,,
Oahu 065,20210326,Kewalo,1000 fm,,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, ballyhoo",,OAH KK07,Mahi,44,,,
Oahu 065,20210326,Kewalo,1000 fm,,South Oahu,"21°11'35.34""N","158°1'10.74""W","Opelu, ballyhoo",,OAH KK08,Mahi,40,,,
